"Section";"Section_description";"Class";"Class_description"
"C";"MANUFACTURING";"26.5";"Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks"
"C";"MANUFACTURING";"27.1";"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"
"C";"MANUFACTURING";"27.40";"Manufacture of electric lighting equipment"
"C";"MANUFACTURING";"27.90";"Manufacture of other electrical equipment"
"C";"MANUFACTURING";"28.4";"Manufacture of metal forming machinery and machine tools"
"C";"MANUFACTURING";"31.01";"Manufacture of office and shop furniture"
"C";"MANUFACTURING";"31.03";"Manufacture of mattresses"
"C";"MANUFACTURING";"33.12";"Repair of machinery"
"C";"MANUFACTURING";"33.17/33.16/33.15";"Repair and maintenance of other transport equipment/Repair and maintenance of aircraft and spacecraft/Repair and maintenance of ships and boats"
"E";"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES";"36";"Water collection, treatment and supply"
"E";"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES";"38";"Waste collection, treatment and disposal activities; materials recovery"
"F";"CONSTRUCTION";"41.10";"Development of building projects"
"F";"CONSTRUCTION";"41.20";"Construction of residential and non-residential buildings"
"F";"CONSTRUCTION";"42.12";"Construction of railways and underground railways"
"F";"CONSTRUCTION";"42.22";"Construction of utility projects for electricity and telecommunications"
"F";"CONSTRUCTION";"42.99";"Construction of other civil engineering projects n.e.c."
"F";"CONSTRUCTION";"43.11";"Demolition"
"F";"CONSTRUCTION";"43.12";"Site preparation"
"F";"CONSTRUCTION";"43.21";"Electrical installation"
"F";"CONSTRUCTION";"43.22";"Plumbing, heat and air-conditioning installation"
"F";"CONSTRUCTION";"43.29";"Other construction installation"
"F";"CONSTRUCTION";"43.31";"Plastering"
"F";"CONSTRUCTION";"43.32";"Joinery installation"
"F";"CONSTRUCTION";"43.33";"Floor and wall covering"
"F";"CONSTRUCTION";"43.34";"Painting and glazing"
"F";"CONSTRUCTION";"43.39";"Other building completion and finishing"
"F";"CONSTRUCTION";"43.91";"Roofing activities"
"F";"CONSTRUCTION";"43.99";"Other specialised construction activities n.e.c."
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"45.11";"Sale of cars and light motor vehicles"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"45.19";"Sale of other motor vehicles"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"45.20";"Maintenance and repair of motor vehicles"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"45.31";"Wholesale trade of motor vehicle parts and accessories"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"45.32";"Retail trade of motor vehicle parts and accessories"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"45.40";"Sale, maintenance and repair of motorcycles and related parts and accessories"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.11";"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.12";"Agents involved in the sale of fuels, ores, metals and industrial chemicals"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.15";"Agents involved in the sale of furniture, household goods, hardware and ironmongery"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.16";"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.18";"Agents specialised in the sale of other particular products"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.19";"Agents involved in the sale of a variety of goods"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.21";"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.23";"Wholesale of live animals"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.31";"Wholesale of fruit and vegetables"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.32";"Wholesale of meat and meat products"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.34";"Wholesale of beverages"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.38";"Wholesale of other food, including fish, crustaceans and molluscs"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.39";"Non-specialised wholesale of food, beverages and tobacco"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.41";"Wholesale of textiles"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.42";"Wholesale of clothing and footwear"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.43";"Wholesale of electrical household appliances"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.46";"Wholesale of pharmaceutical goods"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.49";"Wholesale of other household goods"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.51";"Wholesale of computers, computer peripheral equipment and software"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.52";"Wholesale of electronic and telecommunications equipment and parts"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.61";"Wholesale of agricultural machinery, equipment and supplies"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.65";"Wholesale of office furniture"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.66";"Wholesale of other office machinery and equipment"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.69";"Wholesale of other machinery and equipment"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.73";"Wholesale of wood, construction materials and sanitary equipment"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.74";"Wholesale of hardware, plumbing and heating equipment and supplies"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.75";"Wholesale of chemical products"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.76";"Wholesale of other intermediate products"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.77";"Wholesale of waste and scrap"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"46.90";"Non-specialised wholesale trade"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.11";"Retail sale in non-specialised stores with food, beverages or tobacco predominating"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.21";"Retail sale of fruit and vegetables in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.22";"Retail sale of meat and meat products in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.23";"Retail sale of fish, crustaceans and molluscs in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.24";"Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.25";"Retail sale of beverages in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.26";"Retail sale of tobacco products in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.29";"Other retail sale of food in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.30";"Retail sale of automotive fuel in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.41";"Retail sale of computers, peripheral units and software in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.42";"Retail sale of telecommunications equipment in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.51";"Retail sale of textiles in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.52";"Retail sale of hardware, paints and glass in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.53";"Retail sale of carpets, rugs, wall and floor coverings in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.54";"Retail sale of electrical household appliances in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.59";"Retail sale of furniture, lighting equipment and other household articles in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.61";"Retail sale of books in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.62";"Retail sale of newspapers and stationery in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.64";"Retail sale of sporting equipment in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.71";"Retail sale of clothing in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.72";"Retail sale of footwear and leather goods in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.73";"Dispensing chemist in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.74";"Retail sale of medical and orthopaedic goods in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.75";"Retail sale of cosmetic and toilet articles in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.76";"Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.77";"Retail sale of watches and jewellery in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.78";"Other retail sale of new goods in specialised stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.79";"Retail sale of second-hand goods in stores"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.81";"Retail sale via stalls and markets of food, beverages and tobacco products"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.82";"Retail sale via stalls and markets of textiles, clothing and footwear"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.89";"Retail sale via stalls and markets of other goods"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.91";"Retail sale via mail order houses or via Internet"
"G";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"47.99";"Other retail sale not in stores, stalls or markets"
"H";"TRANSPORTATION AND STORAGE";"49.10";"Passenger rail transport, interurban"
"H";"TRANSPORTATION AND STORAGE";"49.20";"Freight rail transport"
"H";"TRANSPORTATION AND STORAGE";"49.32";"Taxi operation"
"H";"TRANSPORTATION AND STORAGE";"49.39";"Other passenger land transport n.e.c."
"H";"TRANSPORTATION AND STORAGE";"49.41";"Freight transport by road"
"H";"TRANSPORTATION AND STORAGE";"49.42";"Removal services"
"H";"TRANSPORTATION AND STORAGE";"52.10";"Warehousing and storage"
"H";"TRANSPORTATION AND STORAGE";"52.21";"Service activities incidental to land transportation"
"H";"TRANSPORTATION AND STORAGE";"52.24";"Cargo handling"
"H";"TRANSPORTATION AND STORAGE";"52.29";"Other transportation support activities"
"H";"TRANSPORTATION AND STORAGE";"53.10";"Postal activities under universal service obligation"
"I";"ACCOMMODATION AND FOOD SERVICE ACTIVITIES";"55.10";"Hotels and similar accommodation"
"I";"ACCOMMODATION AND FOOD SERVICE ACTIVITIES";"55.20";"Holiday and other short-stay accommodation"
"I";"ACCOMMODATION AND FOOD SERVICE ACTIVITIES";"55.30";"Camping grounds, recreational vehicle parks and trailer parks"
"I";"ACCOMMODATION AND FOOD SERVICE ACTIVITIES";"55.90";"Other accommodation"
"I";"ACCOMMODATION AND FOOD SERVICE ACTIVITIES";"56.10";"Restaurants and mobile food service activities"
"I";"ACCOMMODATION AND FOOD SERVICE ACTIVITIES";"56.21";"Event catering activities"
"I";"ACCOMMODATION AND FOOD SERVICE ACTIVITIES";"56.29";"Other food service activities"
"I";"ACCOMMODATION AND FOOD SERVICE ACTIVITIES";"56.30";"Beverage serving activities"
"J";"INFORMATION AND COMMUNICATION";"58.11";"Book publishing"
"J";"INFORMATION AND COMMUNICATION";"58.13";"Publishing of newspapers"
"J";"INFORMATION AND COMMUNICATION";"58.14";"Publishing of journals and periodicals"
"J";"INFORMATION AND COMMUNICATION";"58.29";"Other software publishing"
"J";"INFORMATION AND COMMUNICATION";"59.11";"Motion picture, video and television programme production activities"
"J";"INFORMATION AND COMMUNICATION";"59.12";"Motion picture, video and television programme post-production activities"
"J";"INFORMATION AND COMMUNICATION";"60.10";"Radio broadcasting"
"J";"INFORMATION AND COMMUNICATION";"61.10";"Wired telecommunications activities"
"J";"INFORMATION AND COMMUNICATION";"61.20";"Wireless telecommunications activities"
"J";"INFORMATION AND COMMUNICATION";"61.90";"Other telecommunications activities"
"J";"INFORMATION AND COMMUNICATION";"62.01";"Computer programming activities"
"J";"INFORMATION AND COMMUNICATION";"62.02";"Computer consultancy activities"
"J";"INFORMATION AND COMMUNICATION";"62.09";"Other information technology and computer service activities"
"J";"INFORMATION AND COMMUNICATION";"63.11";"Data processing, hosting and related activities"
"J";"INFORMATION AND COMMUNICATION";"63.12";"Web portals"
"J";"INFORMATION AND COMMUNICATION";"63.91";"News agency activities"
"K";"FINANCIAL AND INSURANCE ACTIVITIES";"64.19";"Other monetary intermediation"
"K";"FINANCIAL AND INSURANCE ACTIVITIES";"64.20";"Activities of holding companies"
"K";"FINANCIAL AND INSURANCE ACTIVITIES";"64.30";"Trusts, funds and similar financial entities"
"K";"FINANCIAL AND INSURANCE ACTIVITIES";"64.92";"Other credit granting"
"K";"FINANCIAL AND INSURANCE ACTIVITIES";"65.11";"Life insurance"
"K";"FINANCIAL AND INSURANCE ACTIVITIES";"65.12";"Non-life insurance"
"K";"FINANCIAL AND INSURANCE ACTIVITIES";"66.19";"Other activities auxiliary to financial services, except insurance and pension funding"
"K";"FINANCIAL AND INSURANCE ACTIVITIES";"66.22";"Activities of insurance agents and brokers"
"K";"FINANCIAL AND INSURANCE ACTIVITIES";"66.30";"Fund management activities"
"L";"REAL ESTATE ACTIVITIES";"68.10";"Buying and selling of own real estate"
"L";"REAL ESTATE ACTIVITIES";"68.20";"Rental and operating of own or leased real estate"
"L";"REAL ESTATE ACTIVITIES";"68.31";"Real estate agencies"
"L";"REAL ESTATE ACTIVITIES";"68.32";"Management of real estate on a fee or contract basis"
"M";"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES";"69.10";"Legal activities"
"M";"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES";"69.20";"Accounting, bookkeeping and auditing activities; tax consultancy"
"M";"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES";"70.10";"Activities of head offices"
"M";"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES";"70.21";"Public relations and communication activities"
"M";"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES";"70.22";"Business and other management consultancy activities"
"M";"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES";"71.11";"Architectural activities"
"M";"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES";"71.12";"Engineering activities and related technical consultancy"
"M";"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES";"71.20";"Technical testing and analysis"
"M";"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES";"72.19";"Other research and experimental development on natural sciences and engineering"
"M";"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES";"73.11";"Advertising agencies"
"M";"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES";"73.12";"Media representation"
"M";"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES";"73.20";"Market research and public opinion polling"
"M";"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES";"74.10";"Specialised design activities"
"M";"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES";"74.20";"Photographic activities"
"M";"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES";"74.30";"Translation and interpretation activities"
"M";"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES";"74.90";"Other professional, scientific and technical activities n.e.c."
"M";"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES";"75.00";"Veterinary activities"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"77.11";"Rental and leasing of cars and light motor vehicles"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"77.22";"Rental of video tapes and disks"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"77.29";"Rental and leasing of other personal and household goods"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"77.32";"Rental and leasing of construction and civil engineering machinery and equipment"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"77.33";"Rental and leasing of office machinery and equipment (including computers)"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"77.39";"Rental and leasing of other machinery, equipment and tangible goods n.e.c."
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"78.10";"Activities of employment placement agencies"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"78.20";"Temporary employment agency activities"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"78.30";"Other human resources provision"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"79.11";"Travel agency activities"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"79.12";"Tour operator activities"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"79.90";"Other reservation service and related activities"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"81.10";"Combined facilities support activities"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"81.21";"General cleaning of buildings"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"81.22";"Other building and industrial cleaning activities"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"81.29";"Other cleaning activities"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"81.30";"Landscape service activities"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"82.11";"Combined office administrative service activities"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"82.19";"Photocopying, document preparation and other specialised office support activities"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"82.20";"Activities of call centres"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"82.30";"Organisation of conventions and trade shows"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"82.92";"Packaging activities"
"N";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";"82.99";"Other business support service activities n.e.c."
"O";"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY";"84.11";"General public administration activities"
"O";"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY";"84.12";"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security"
"O";"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY";"84.13";"Regulation of and contribution to more efficient operation of businesses"
"O";"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY";"84.25";"Fire service activities"
"O";"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY";"84.30";"Compulsory social security activities"
"P";"EDUCATION";"85.10";"Pre-primary education"
"P";"EDUCATION";"85.20";"Primary education"
"P";"EDUCATION";"85.31";"General secondary education"
"P";"EDUCATION";"85.32";"Technical and vocational secondary education"
"P";"EDUCATION";"85.42";"Tertiary education"
"P";"EDUCATION";"85.51";"Sports and recreation education"
"P";"EDUCATION";"85.52";"Cultural education"
"P";"EDUCATION";"85.53";"Driving school activities"
"P";"EDUCATION";"85.59";"Other education n.e.c."
"Q";"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES";"86.10";"Hospital activities"
"Q";"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES";"86.21";"General medical practice activities"
"Q";"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES";"86.22";"Specialist medical practice activities"
"Q";"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES";"86.23";"Dental practice activities"
"Q";"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES";"86.90";"Other human health activities"
"Q";"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES";"87.10";"Residential nursing care activities"
"Q";"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES";"87.20";"Residential care activities for mental retardation, mental health and substance abuse"
