Class;Description;Energy;Surface;Energy_m2
82.99;Other business support service activities n.e.c.;115788525;2170647;53,34286277
81.29;Other cleaning activities;4327486,361;93200;46,43225709
43.29;Other construction installation;28743001,23;498639;57,64290645
64.92;Other credit granting;14356284,23;297202;48,30480358
85.59;Other education n.e.c.;87391453,27;2196788;39,78146879
64.99;Other financial service activities, except insurance and pension funding n.e.c.;6273668,754;63964;98,08124498
56.29;Other food service activities;22675089,83;356595;63,5877952
86.90;Other human health activities;505514817,2;3911353;129,2429544
78.30;Other human resources provision;9846156,5;171228;57,50319165
63.99;Other information service activities n.e.c.;207291,928;7651;27,09344243
62.09;Other information technology and computer service activities;7745526,722;107685;71,92762894
32;Other manufacturing;84347710,24;1131999;74,51217734
64.19;Other monetary intermediation;468762593;4545546;103,1256956
49.39;Other passenger land transport n.e.c.;30397765,21;680860;44,64613167
96.09;Other personal service activities n.e.c.;47606802,38;438885;108,4721564
53.20;Other postal and courier activities;4057259,833;127157;31,90748314
74.90;Other professional, scientific and technical activities n.e.c.;18718430,72;314431;59,53112357
58.19;Other publishing activities;3739622,347;86628;43,16874852
72.19;Other research and experimental development on natural sciences and engineering;23379314,52;586132;39,88745626
79.90;Other reservation service and related activities;2878208,171;72158;39,8875824
87.90;Other residential care activities;7026228,202;73112;96,10225684
47.19;Other retail sale in non-specialised stores;61892205,5;1111066;55,70524658
47.99;Other retail sale not in stores, stalls or markets;27719084,39;563951;49,151583
47.29;Other retail sale of food in specialised stores;102610693,2;721534;142,2118613
47.78;Other retail sale of new goods in specialised stores;340737625,1;3660259;93,09112418
88.99;Other social work activities without accommodation n.e.c.;6430006,327;135733;47,37246158
58.29;Other software publishing;39027420,93;615976;63,35867133
43.99;Other specialised construction activities n.e.c.;156157781,9;3530317;44,23335976
93.19;Other sports activities;3935232,594;149262;26,36459778
61.90;Other telecommunications activities;199168493,6;2307685;86,30662055
52.29;Other transportation support activities;56747496,46;3931792;14,43298538
82.92;Packaging activities;10979603,22;564723;19,44245801
43.34;Painting and glazing;71655607,61;1178279;60,81378656
51.10;Passenger air transport;2603030,006;107587;24,19465183
49.10;Passenger rail transport, interurban;20165,278;29674;0,679560491
65.30;Pension funding;296166,945;5028;58,90352924
90.01;Performing arts;11511901,44;290548;39,62134118
82.19;Photocopying, document preparation and other specialised office support activities;12773675,85;281725;45,34093832
74.20;Photographic activities;23866442,8;177473;134,4792887
96.04;Physical well-being activities;32609520,84;452655;72,04056255
01.30;Plant propagation;4781448,599;177607;26,92150984
43.31;Plastering;23557827,39;382227;61,63308032
43.22;Plumbing, heat and air-conditioning installation;123547580,4;1979590;62,41069133
01.63;Post-harvest crop activities;276497,461;12342;22,40297043
85.41;Post-secondary non-tertiary education;264505,442;3705;71,39148232
53.10;Postal activities under universal service obligation;192603,081;2092;92,06648231
85.10;Pre-primary education;111194,585;2119;52,47502832
13.10;Preparation and spinning of textile fibres;1265455,216;48854;25,90279641
85.20;Primary education;917280,432;9970;92,00405537
18.1;Printing and service activities related to printing;72709418,75;1031947;70,45848163
80.10;Private security activities;21945921,51;258500;84,89718185
10.20;Processing and preserving of fish, crustaceans and molluscs;5002553,542;53192;94,04710374
10.3;Processing and preserving of fruit and vegetables;7349585,766;162414;45,25216894
10.1;Processing and preserving of meat and production of meat products;92846872,74;566891;163,7825838
70.21;Public relations and communication activities;8407323,881;102718;81,84859402
58.21;Publishing of computer games;265378,18;3575;74,23165874
58.12;Publishing of directories and mailing lists;103875,668;6294;16,50391929
58.14;Publishing of journals and periodicals;6086901,861;69269;87,87339013
58.13;Publishing of newspapers;1568077,276;25315;61,9426141
60.10;Radio broadcasting;4958612,955;70046;70,79080825
01.41;Raising of dairy cattle;55094,26;41;1343,762439
01.43;Raising of horses and other equines;593203,719;28198;21,03708486
01.49;Raising of other animals;924927,781;21623;42,77518295
01.42;Raising of other cattle and buffaloes;264415,345;6100;43,34677787
01.47;Raising of poultry;936493,727;9258;101,1550796
01.45;Raising of sheep and goats;34306,23;180;190,5901667
01.46;Raising of swine/pigs;615978,428;2576;239,1220606
68.31;Real estate agencies;162620317,6;1282287;126,8205305
84.13;Regulation of and contribution to more efficient operation of businesses;3351879,505;92041;36,41724346
84.12;Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security;770750,157;13033;59,13835318
65.20;Reinsurance;4951279,807;45937;107,7841349
49.42;Removal services;12118207,4;525995;23,03863611
77.31;Rental and leasing of agricultural machinery and equipment;1472354,189;50112;29,38126974
77.35;Rental and leasing of air transport equipment;488205,22;17214;28,36093993
77.11;Rental and leasing of cars and light motor vehicles;36752986,42;878065;41,85679468
77.32;Rental and leasing of construction and civil engineering machinery and equipment;35784673,49;1201260;29,7892825
77.33;Rental and leasing of office machinery and equipment (including computers);2366061,436;48949;48,33727831
77.39;Rental and leasing of other machinery, equipment and tangible goods n.e.c.;20071516,84;625307;32,09866008
77.29;Rental and leasing of other personal and household goods;34031301,34;859341;39,60162653
77.21;Rental and leasing of recreational and sports goods;4109132,986;78676;52,22854474
77.12;Rental and leasing of trucks;8325510,693;272122;30,59477254
77.34;Rental and leasing of water transport equipment;860637,762;12483;68,94478587
68.20;Rental and operating of own or leased real estate;162004114,6;3747719;43,22739101
77.22;Rental of video tapes and disks;78981,617;1012;78,04507609
33.17/33.16/33.15;Repair and maintenance of other transport equipment/Repair and maintenance of aircraft and spacecraft/Repair and maintenance of ships and boats;235790,841;7281;32,38440338
95.12;Repair of communication equipment;1823325,538;17825;102,2903528
95.11;Repair of computers and peripheral equipment;14511445,29;178457;81,31620107
95.21;Repair of consumer electronics;9258676,031;96773;95,67416564
95.23;Repair of footwear and leather goods;22307210,09;78405;284,512596
95.24;Repair of furniture and home furnishings;4614591,53;90695;50,88033001
95.22;Repair of household appliances and home and garden equipment;10335554,46;131455;78,62427798
33.12;Repair of machinery;25488494,08;734781;34,68855902
95.29;Repair of other personal and household goods;25115029,47;237853;105,5905516
95.25;Repair of watches, clocks and jewellery;2819064,251;12763;220,8778697
72.11;Research and experimental development on biotechnology;2649635,249;54148;48,93320619
72.20;Research and experimental development on social sciences and humanities;1474135,898;27743;53,13541787
87.20;Residential care activities for mental retardation, mental health and substance abuse;650470,425;43139;15,07847713
87.30;Residential care activities for the elderly and disabled;10844103,14;95621;113,4071296
87.10;Residential nursing care activities;149918309,1;1679379;89,27008677
56.10;Restaurants and mobile food service activities;1571796997;10826878;145,1754603
47.11;Retail sale in non-specialised stores with food, beverages or tobacco predominating;940080800,9;11584451;81,15022463
47.43;Retail sale of audio and video equipment in specialised stores;2514345,544;33964;74,02972394
47.30;Retail sale of automotive fuel in specialised stores;82870502,99;923845;89,70173892
47.25;Retail sale of beverages in specialised stores;47014212,48;459040;102,4185528
47.61;Retail sale of books in specialised stores;8046197,495;96045;83,77528757
47.24;Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores;71053627,48;283033;251,043615
47.53;Retail sale of carpets, rugs, wall and floor coverings in specialised stores;19135904,11;269605;70,97755647
47.71;Retail sale of clothing in specialised stores;425662925;3868559;110,0313902
47.41;Retail sale of computers, peripheral units and software in specialised stores;11329926,01;111958;101,1980029
47.75;Retail sale of cosmetic and toilet articles in specialised stores;62873918,64;385808;162,9668608
47.54;Retail sale of electrical household appliances in specialised stores;57613688,18;980140;58,78108043
47.23;Retail sale of fish, crustaceans and molluscs in specialised stores;18453772,56;100768;183,1312774
47.76;Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores;126864451,6;2297385;55,22124138
47.72;Retail sale of footwear and leather goods in specialised stores;103098849,9;1010833;101,9939494
47.21;Retail sale of fruit and vegetables in specialised stores;48219033,54;367033;131,3751993
47.59;Retail sale of furniture, lighting equipment and other household articles in specialised stores;180093368,7;3600173;50,02353184
47.65;Retail sale of games and toys in specialised stores;7237002,021;109067;66,35372772
47.52;Retail sale of hardware, paints and glass in specialised stores;118181266,4;3752672;31,49256487
47.22;Retail sale of meat and meat products in specialised stores;193887370,9;792154;244,7596943
47.74;Retail sale of medical and orthopaedic goods in specialised stores;46544940,84;487066;95,5618763
47.63;Retail sale of music and video recordings in specialised stores;358982,793;6285;57,1173895
47.62;Retail sale of newspapers and stationery in specialised stores;86593501,25;736148;117,6305597
47.79;Retail sale of second-hand goods in stores;42295066,46;605711;69,82713944
47.64;Retail sale of sporting equipment in specialised stores;107934789,2;1751775;61,61452768
47.42;Retail sale of telecommunications equipment in specialised stores;14828997,81;76203;194,5986091
47.51;Retail sale of textiles in specialised stores;37552357,04;408951;91,82605506
47.26;Retail sale of tobacco products in specialised stores;38484154,57;180288;213,4593238
47.77;Retail sale of watches and jewellery in specialised stores;44794075,4;220440;203,2030276
47.91;Retail sale via mail order houses or via Internet;40987163,93;855125;47,93119594
47.81;Retail sale via stalls and markets of food, beverages and tobacco products;34568750,85;323985;106,6986152
47.89;Retail sale via stalls and markets of other goods;23724357,42;255556;92,83428064
47.82;Retail sale via stalls and markets of textiles, clothing and footwear;4370030,186;29462;148,3276826
45.32;Retail trade of motor vehicle parts and accessories;66200256,98;1510910;43,81482483
66.21;Risk and damage evaluation;4251400,466;39189;108,4845356
43.91;Roofing activities;59845094,7;1297119;46,13693477
45.11;Sale of cars and light motor vehicles;362945638,5;8927252;40,65591948
45.19;Sale of other motor vehicles;3421411,882;117074;29,22435282
45.40;Sale, maintenance and repair of motorcycles and related parts and accessories;40435688,8;652175;62,00128616
61.30;Satellite telecommunications activities;90361,155;730;123,7824041
50.20;Sea and coastal freight water transport;36043,99;501;71,94409182
50.10;Sea and coastal passenger water transport;1501015,541;19474;77,07792652
66.12;Security and commodity contracts brokerage;1440789,392;32600;44,19599362
80.20;Security systems service activities;3088533,301;50297;61,40591489
01.64;Seed processing for propagation;368807,062;6565;56,1777703
52.23;Service activities incidental to air transportation;1106371,027;131965;8,383821672
52.21;Service activities incidental to land transportation;17333095,78;577619;30,00783524
52.22;Service activities incidental to water transportation;2281732,053;58469;39,02464645
02.10;Silviculture and other forestry activities;590603,609;24129;24,47692026
43.12;Site preparation;57254163,26;2418699;23,67147101
88.10;Social work activities without accommodation for the elderly and disabled;23408499,92;301139;77,733206
59.20;Sound recording and music publishing activities;4677835,97;60862;76,85971493
74.10;Specialised design activities;11372294,65;138031;82,38942446
86.22;Specialist medical practice activities;48552139,78;560858;86,56761566
85.51;Sports and recreation education;4481641,491;94938;47,2059817
01.62;Support activities for animal production;4329105,331;71965;60,15570529
01.61;Support activities for crop production;21465179,03;573291;37,44203037
90.02;Support activities to performing arts;13381559,36;277493;48,22305198
02.40;Support services to forestry;2162115,831;49445;43,72769402
49.32;Taxi operation;12388392,03;121902;101,6258308
85.32;Technical and vocational secondary education;1832896,124;32149;57,01253924
71.20;Technical testing and analysis;97225181,79;1435440;67,73197193
60.20;Television programming and broadcasting activities;3377127,193;88883;37,9951981
78.20;Temporary employment agency activities;51323137,06;937500;54,74467953
85.42;Tertiary education;4634664,834;152914;30,30896343
43.13;Test drilling and boring;1424731,347;50927;27,97595278
79.12;Tour operator activities;1242562,729;12489;99,49257178
74.30;Translation and interpretation activities;20194063,12;246130;82,04632965
49.50;Transport via pipeline;1984564,046;51712;38,37724408
79.11;Travel agency activities;36879714,64;789560;46,70919834
25.61;Treatment and coating of metals;24459735,98;449050;54,46996098
64.30;Trusts, funds and similar financial entities;50205130,06;1104314;45,46273076
98.10;Undifferentiated goods-producing activities of private households for own use;0,65;80;0,008125
49.31;Urban and suburban passenger land transport;13393431,71;367248;36,46971995
75.00;Veterinary activities;62721793,19;545764;114,9247535
52.10;Warehousing and storage;52156592,82;5288861;9,86159266
96.01;Washing and (dry-)cleaning of textile and fur products;86987089,63;429253;202,6475986
38;"Waste collection, treatment and disposal activities; materials recovery";66477511;5177887;12,83873344
36;Water collection, treatment and supply;22782609,19;438853;51,91398758
13.2/13.3;Weaving of textiles/Finishing of textiles;1652249,251;62787;26,31514885
63.12;Web portals;1596653,429;43481;36,72071546
46.61;Wholesale of agricultural machinery, equipment and supplies;46541875,63;1512262;30,77633084
46.34;Wholesale of beverages;52868220,12;1407733;37,55557348
46.75;Wholesale of chemical products;19150102,29;793471;24,13459634
46.44;Wholesale of china and glassware and cleaning materials;14011958,16;462972;30,26523884
46.42;Wholesale of clothing and footwear;46961645,88;803023;58,481072
46.37;Wholesale of coffee, tea, cocoa and spices;1988974,479;55244;36,00344796
46.51;Wholesale of computers, computer peripheral equipment and software;37207387,99;730790;50,91392601
46.33;Wholesale of dairy products, eggs and edible oils and fats;13705052,77;215755;63,52136807
46.43;Wholesale of electrical household appliances;10253918,49;359956;28,48658861
46.52;Wholesale of electronic and telecommunications equipment and parts;9428623,992;175665;53,6738906
46.22;Wholesale of flowers and plants;8570431,48;199776;42,90020563
46.31;Wholesale of fruit and vegetables;38385898,36;559366;68,62393918
46.47;Wholesale of furniture, carpets and lighting equipment;4561219,225;96219;47,40455861
46.21;Wholesale of grain, unmanufactured tobacco, seeds and animal feeds;61866646,78;2331279;26,53764169
46.74;Wholesale of hardware, plumbing and heating equipment and supplies;57960511,28;1769147;32,76184019
46.24;Wholesale of hides, skins and leather;1138021,871;25616;44,42621295
46.23;Wholesale of live animals;7883169,385;226665;34,77894419
46.62;Wholesale of machine tools;8009579,029;175017;45,76457732
46.64;Wholesale of machinery for the textile industry and of sewing and knitting machines;573351,937;8492;67,5167142
46.32;Wholesale of meat and meat products;24986795,8;192489;129,8089543
46.72;Wholesale of metals and metal ores;15624537,81;726609;21,50336399
46.63;Wholesale of mining, construction and civil engineering machinery;20815805,23;571373;36,43120209
46.65;Wholesale of office furniture;1005235,907;24690;40,71429352
46.38;Wholesale of other food, including fish, crustaceans and molluscs;41407069,14;632839;65,43065319
46.49;Wholesale of other household goods;72680543,63;1927447;37,70819308
46.76;Wholesale of other intermediate products;14730664,5;516237;28,53469338
46.69;Wholesale of other machinery and equipment;201903099;4788827;42,16128481
46.66;Wholesale of other office machinery and equipment;5326880,442;95024;56,05826362
46.45;Wholesale of perfume and cosmetics;15051479,31;282206;53,33507903
46.46;Wholesale of pharmaceutical goods;33954021,65;750928;45,2160815
46.71;Wholesale of solid, liquid and gaseous fuels and related products;18186744,84;460489;39,49441754
46.36;Wholesale of sugar and chocolate and sugar confectionery;3829967,445;49808;76,89462426
46.41;Wholesale of textiles;15062618,43;335841;44,85044539
46.35;Wholesale of tobacco products;656831,816;16306;40,28160285
46.77;Wholesale of waste and scrap;1356784,998;94094;14,41946349
46.48;Wholesale of watches and jewellery;769056,58;25168;30,55692069
46.73;Wholesale of wood, construction materials and sanitary equipment;174258051,4;6683987;26,07097402
45.31;Wholesale trade of motor vehicle parts and accessories;49607345,95;1384554;35,82911605
61.10;Wired telecommunications activities;16964150,23;333400;50,88227422
61.20;Wireless telecommunications activities;11718561,19;130790;89,59829646
